zone_count,door_count,window_count,zones_missing_door,zones_missing_window,gpt_compliance_score,gpt_status_encoded,Final_Approved_Score,Final_Status
3,5,3,1,1,62,1,63,Review
2,1,2,0,1,86,2,78,Review
2,3,1,2,0,60,1,53,Review
5,5,6,0,1,86,2,78,Review
2,4,1,0,0,100,2,98,Pass
4,3,6,0,0,100,2,94,Pass
0,1,2,0,0,69,1,69,Review
3,2,5,2,2,30,0,28,Reject
1,2,0,0,1,63,1,59,Review
2,4,2,1,0,77,1,75,Review
3,2,2,2,2,28,0,21,Reject
3,2,5,0,2,72,1,80,Pass
3,3,2,0,1,82,2,74,Review
4,4,3,0,0,100,2,100,Pass
0,0,2,0,0,49,0,47,Reject
2,1,3,0,0,100,2,100,Pass
2,4,3,0,2,69,1,71,Review
2,4,3,0,2,69,1,76,Review
3,2,4,0,0,100,2,100,Pass
2,4,2,0,0,100,2,100,Pass
2,3,3,2,1,42,0,35,Reject
2,3,3,0,0,100,2,92,Pass
4,3,3,2,2,29,0,27,Reject
2,2,3,0,2,69,1,71,Review
3,4,2,0,0,99,2,97,Pass
1,2,3,1,0,77,1,81,Pass
3,4,4,0,1,88,2,81,Pass
2,2,1,0,1,85,2,82,Pass
3,2,4,1,0,81,2,86,Pass
4,3,4,0,0,100,2,100,Pass
4,6,6,1,1,67,1,70,Review
0,2,0,0,0,51,1,45,Reject
3,2,3,1,0,77,1,71,Review
2,1,2,0,0,100,2,100,Pass
2,3,2,2,1,45,0,43,Reject
3,4,5,2,0,57,1,65,Review
2,4,2,0,0,100,2,95,Pass
4,3,3,1,0,77,1,73,Review
5,6,6,0,1,84,2,90,Pass
1,1,3,0,0,100,2,100,Pass
4,4,3,1,0,77,1,85,Pass
2,3,2,0,0,100,2,100,Pass
1,1,1,0,1,84,2,78,Review
2,3,2,0,2,68,1,68,Review
4,5,4,1,0,79,1,79,Review
3,4,4,0,1,86,2,83,Pass
1,3,0,0,0,83,2,85,Pass
1,1,0,0,0,77,1,71,Review
1,0,1,0,0,78,1,76,Review
1,1,1,0,1,84,2,84,Pass
2,1,4,1,2,48,0,52,Review
2,3,3,0,0,100,2,98,Pass
2,1,2,0,0,99,2,99,Pass
2,1,2,0,0,100,2,100,Pass
2,4,1,0,0,100,2,99,Pass
2,1,3,0,0,100,2,100,Pass
4,5,3,2,0,61,1,61,Review
